週識別子,バッチ,投稿番号,媒体,投稿日,投稿時刻,曜日,ステップ,本文ファイルURL,素材フォルダURL,予約ツールURL,特記事項
2026-W23,火曜,4,Flodesk,2026/6/6,8:00 JST,土,Day 37,https://drive.google.com/file/d/1qp1fk2Ot0H8r4grHT-SZrf1l3j5O5oxA/view?usp=drivesdk,,https://app.flodesk.com/,フレーズ回（うちの店で説明するなら）
2026-W23,火曜,5,Flodesk,2026/6/7,8:00 JST,日,Day 38,https://drive.google.com/file/d/1IgpNTYrpL7kiP2iP3ukD3Ioy24qyzLjp/view?usp=drivesdk,,https://app.flodesk.com/,4講座振り返り（日曜の補足）
2026-W23,金曜,1,Flodesk,2026/6/8,8:00 JST,月,Day 39,https://drive.google.com/file/d/1DP0ohjuad9MSnSh_dBjBlXDGrhk9QCBB/view?usp=drivesdk,,https://app.flodesk.com/,統合回（あなたはなぜオーガニックを伝えるのか）
2026-W23,金曜,2,Flodesk,2026/6/9,8:00 JST,火,Day 40,https://drive.google.com/file/d/1tewPaq6rYe8gMd80UA8Iq_G6KofAyAQj/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（講座5以降の地図）
2026-W23,金曜,3,Flodesk,2026/6/10,8:00 JST,水,Day 41,https://drive.google.com/file/d/1t0N-Oju2rJ10vai_MwsQXYJNNB3l0T6K/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（5-1前編）
2026-W23,金曜,4,Flodesk,2026/6/11,8:00 JST,木,Day 42,https://drive.google.com/file/d/1WLZRzgPhi95Uj8DbrrEkeMUhHnG7ZsXT/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（5-1後編）
2026-W23,金曜,5,Flodesk,2026/6/12,8:00 JST,金,Day 43,https://drive.google.com/file/d/1FpK5eIw1hx-2Els_rbNZhNv2pZBnMbaf/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（5-2前編）
2026-W23,金曜,6,Flodesk,2026/6/13,8:00 JST,土,Day 44,https://drive.google.com/file/d/1O6AIHpw6qp1qix1M51pr7_32KxZMSALe/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（5-2中編）
2026-W23,金曜,7,Flodesk,2026/6/14,8:00 JST,日,Day 45,https://drive.google.com/file/d/1F_O2KiK1TcDSruvEbFX6QjhaOsh8xEWN/view?usp=drivesdk,,https://app.flodesk.com/,🎬動画リンクあり（5-2後編）
2026-W24,金曜,1,サイト運用,2026/6/12,10:00,金,デプロイ,,https://drive.google.com/drive/folders/13OsblJj_8xfMNcDRe1QMVTsJ-F0zTrRu,,📌 公式サイトのトップページ1枚だけ差し替え（実績セクションの取引先企業リスト更新・所要約15分）。前回6/1にやっていただいた作業の縮小版で、今回は index.html 1ファイルのみです。手順：①📁配布物フォルダから「index_new_20260612.html」をダウンロード ②サーバのファイルマネージャーで public_html 直下の現在の index.html を「index_old_20260612.html」にリネーム（削除しない） ③ダウンロードしたファイルを「index.html」にリネームしてアップロード ④PC・スマホでトップページを強制リロード（Cmd+Shift+R）して実績の企業名が更新されているか確認 ⑤完了報告を担当へ。⚠️他のファイル・フォルダは一切触りません。困ったら手を止めてLINEでOK
